has,prefers,count
"Saint-Marin","Royaume-Uni",2
"Saint-Marin","Russie",3
"Saint-Marin","Slovénie",1
"Saint-Marin","Suède",2,25
"Slovénie","Allemagne",2,2
"Slovénie","Arménie",0,8333333333
"Slovénie","Autriche",3
"Slovénie","Azerbaïdjan",0,8333333333
"Slovénie","Danemark",5
"Slovénie","Espagne",1
"Slovénie","Finlande",1,3333333333
"Slovénie","France",1
"Slovénie","Grèce",2
"Slovénie","Hongrie",1
"Slovénie","Islande",1,8571428571
"Slovénie","Italie",5,3333333333
"Slovénie","Malte",0,1666666667
"Slovénie","Monténégro",
"Slovénie","Norvège",2,625
"Slovénie","Pays-Bas",4
"Slovénie","Roumanie",1,2
"Slovénie","Royaume-Uni",1
"Slovénie","Russie",3,2
"Slovénie","Saint-Marin",
"Slovénie","Suède",3,2222222222
"Slovénie","Suisse",2
"Slovénie","Ukraine",2,2
"Suède","Allemagne",2
"Suède","Arménie",1
"Suède","Autriche",2
"Suède","Azerbaïdjan",1,8333333333
"Suède","Danemark",6,375
"Suède","Finlande",7
"Suède","France",1
"Suède","Grèce",3
"Suède","Hongrie",3,2
"Suède","Islande",3,5714285714
"Suède","Malte",1
"Suède","Monténégro",
"Suède","Norvège",7
"Suède","Pays-Bas",4
"Suède","Pologne",1
"Suède","Roumanie",2,2
"Suède","Russie",2,4
"Suède","Saint-Marin",
"Suède","Suisse",2
"Suède","Ukraine",2
"Suisse","Allemagne",5,1
"Suisse","Autriche",4
"Suisse","Azerbaïdjan",2
"Suisse","Danemark",0,375
"Suisse","Espagne",3,3
"Suisse","Finlande",2,3333333333
"Suisse","France",1,3
"Suisse","Grèce",4
"Suisse","Hongrie",3
"Suisse","Islande",2,8571428571
"Suisse","Italie",7
"Suisse","Malte",1
"Suisse","Monténégro",
"Suisse","Norvège",2
"Suisse","Pays-Bas",2
"Suisse","Roumanie",1
"Suisse","Saint-Marin",
"Suisse","Suède",1
"Ukraine","Allemagne",1
"Ukraine","Arménie",6
"Ukraine","Azerbaïdjan",11
"Ukraine","Biélorussie",8
"Ukraine","Danemark",1,25
"Ukraine","Finlande",1,1666666667
"Ukraine","France",1
"Ukraine","Grèce",2,1
"Ukraine","Hongrie",1,2
"Ukraine","Italie",1,3333333333
"Ukraine","Malte",3,3333333333
"Ukraine","Monténégro",
"Ukraine","Norvège",4
"Ukraine","Pologne",3
"Ukraine","Roumanie",1
"Ukraine","Royaume-Uni",1
"Ukraine","Russie",9
"Ukraine","Saint-Marin",
"Ukraine","Slovénie",2
"Ukraine","Suède",2
"Ukraine","Suisse",2
